DistID,District,Bedrooms,Bathrooms,Price,Size,Url
16,Hortaleza,6,5,1550000,500,http://www.idealista.com/26196438
16,Hortaleza,5,6,1600000,450,http://www.idealista.com/25293099
4,Salamanca,3,2,775000,149,http://www.idealista.com/38296529
4,Salamanca,1,1,235000,61,http://www.idealista.com/38744755
16,Hortaleza,6,6,2690000,741,http://www.idealista.com/37461630
7,Chamberí,6,4,1950800,339,http://www.idealista.com/38321910
1,Centro,1,1,341000,83,http://www.idealista.com/38231457
6,Tetuán,3,2,266000,89,http://www.idealista.com/37987781
20,San Blas,3,1,114000,65,http://www.idealista.com/37242431
4,Salamanca,2,2,599900,227,http://www.idealista.com/35005091
5,Chamartín,3,2,410000,130,http://www.idealista.com/38403340
9,Moncloa,5,4,1370000,600,http://www.idealista.com/38220044
16,Hortaleza,4,4,1060000,220,http://www.idealista.com/36896187
5,Chamartín,4,4,2200000,320,http://www.idealista.com/38571892
4,Salamanca,3,1,450000,87,http://www.idealista.com/38273659
16,Hortaleza,2,2,430000,100,http://www.idealista.com/38175698
16,Hortaleza,3,2,645000,212,http://www.idealista.com/37998868
1,Centro,2,2,695800,123,http://www.idealista.com/37535771
6,Tetuán,5,3,950000,252,http://www.idealista.com/37530905
4,Salamanca,4,3,1325000,209,http://www.idealista.com/37362225
4,Salamanca,5,2,439000,135,http://www.idealista.com/37291237
5,Chamartín,4,3,1350000,274,http://www.idealista.com/36841521
6,Tetuán,5,4,1185000,300,http://www.idealista.com/36672772
7,Chamberí,4,3,1950000,400,http://www.idealista.com/30604188
4,Salamanca,3,3,1995000,165,http://www.idealista.com/35692263
5,Chamartín,3,2,695000,148,http://www.idealista.com/35400923
4,Salamanca,5,4,2700000,312,http://www.idealista.com/32368091
1,Centro,4,4,1675000,230,http://www.idealista.com/34573356
20,San Blas,3,1,179000,91,http://www.idealista.com/37052722
3,Retiro,5,2,690000,215,http://www.idealista.com/36967840
4,Salamanca,4,4,2500000,290,http://www.idealista.com/37279756
7,Chamberí,4,4,1450000,285,http://www.idealista.com/35935928
5,Chamartín,5,4,1600000,490,http://www.idealista.com/34496760
4,Salamanca,2,2,1200000,118,http://www.idealista.com/38854984
1,Centro,3,1,535000,138,http://www.idealista.com/38653409
8,Fuencarral,5,5,1100000,280,http://www.idealista.com/38315728
16,Hortaleza,5,5,1490000,450,http://www.idealista.com/37008571
8,Fuencarral,5,4,740000,268,http://www.idealista.com/36892454
16,Hortaleza,5,5,2400000,320,http://www.idealista.com/31430306
6,Tetuán,4,2,399200,126,http://www.idealista.com/38997485
5,Chamartín,5,5,2300000,320,http://www.idealista.com/38642080
5,Chamartín,3,3,850000,149,http://www.idealista.com/35178437
9,Moncloa,5,5,3700000,950,http://www.idealista.com/38968229
4,Salamanca,2,1,410000,118,http://www.idealista.com/38656731
4,Salamanca,3,2,645000,120,http://www.idealista.com/38387492
6,Tetuán,4,4,875000,240,http://www.idealista.com/38244037
5,Chamartín,3,2,799000,187,http://www.idealista.com/38131283
5,Chamartín,6,4,1320000,355,http://www.idealista.com/38092652
5,Chamartín,2,2,985000,198,http://www.idealista.com/38009653
5,Chamartín,3,2,930000,166,http://www.idealista.com/37119544
5,Chamartín,5,3,720000,172,http://www.idealista.com/36737205
6,Tetuán,5,3,1300000,272,http://www.idealista.com/35528277
5,Chamartín,2,1,1150000,172,http://www.idealista.com/34653200
15,Ciudad Lineal,4,2,345000,138,http://www.idealista.com/38279058
6,Tetuán,3,1,161000,77,http://www.idealista.com/37394229
16,Hortaleza,5,3,800000,273,http://www.idealista.com/38609055
9,Moncloa,6,5,1620000,657,http://www.idealista.com/38152743
16,Hortaleza,4,6,1500000,433,http://www.idealista.com/38742576
5,Chamartín,3,3,935000,193,http://www.idealista.com/37484472
9,Moncloa,3,3,1325000,250,http://www.idealista.com/37450113
3,Retiro,3,3,2400000,389,http://www.idealista.com/38883042
8,Fuencarral,5,7,2750000,700,http://www.idealista.com/38715910
3,Retiro,3,3,640000,170,http://www.idealista.com/38543815
